Питч и инвестиции	Что инвестор спрашивает после деки: 7 каверзных вопросов и как на них отвечать
Питч и инвестиции	Term Sheet от ангела: на что смотреть в первую очередь, чтобы не подарить долю
Питч и инвестиции	Почему 9 из 10 фондов отказывают на втором созвоне (и как попасть в 1)
Питч и инвестиции	Какие метрики показывать на seed, а какие нельзя ни в коем случае
Питч и инвестиции	Как найти ангела: 5 источников, кроме «знакомых знакомых»
Питч и инвестиции	Due diligence для основателя: что инвестор обязательно проверит
Питч и инвестиции	Cap table перед раундом: типичные косяки, которые добивают сделку
Финансы стартапа	5 цифр юники, которые фаундер должен помнить наизусть
Финансы стартапа	Когда стоит брать долг, а когда долю: четыре сценария на ранней стадии
Финансы стартапа	Кэш-флоу для не-финансистов: одна табличка, которая спасает от кассового разрыва
Финансы стартапа	CAC, который вы считаете, обычно врёт: 4 расхода, которые забывают
Финансы стартапа	Финмодель для инвестора: 7 листов, без которых ей не верят
Финансы стартапа	Маржа на маркетплейсах: как считать после возвратов, комиссий и налогов
Финансы стартапа	Когда стартап «умирает с прибылью»: про разницу выручки и денег
Юр.чек-лист	Договор с со-фаундером: 7 пунктов, без которых партнёрство трещит
Юр.чек-лист	NDA, который реально работает: 4 признака рабочего соглашения
Юр.чек-лист	Опционы для первых сотрудников: vesting, cliff и подводные камни
Юр.чек-лист	IP и регистрация торгового знака: когда делать и сколько стоит
Юр.чек-лист	ИП, ООО или самозанятый на старте: 5 критериев выбора
Юр.чек-лист	Convertible loan vs SAFE: что выбрать на pre-seed в РФ
Юр.чек-лист	Договор с фрилансером: 3 пункта, без которых вы теряете права на код
Команда и найм	Как платить меньше рынка и не терять людей: 5 нематериальных рычагов
Команда и найм	Первые 10 сотрудников: профили, которые нельзя ошибиться
Команда и найм	Когда нанимать сениора, а когда джуна: правда про экономику ранней команды
Команда и найм	Как уволить за неделю и не разрушить команду: 5 шагов
Команда и найм	Оффер кандидату из найма: какие вопросы задать до подписания
Команда и найм	Как делегировать, если ты привык всё делать сам: 3 первых шага
Команда и найм	CTO с долей или CTO на зарплате: как принять решение
Продукт и стратегия	Customer development без NDA и стеснения: как за 2 недели поговорить с 30 клиентами
Продукт и стратегия	MVP, который не стыдно показать: 3 признака рабочей версии
Продукт и стратегия	Когда делать pivot, а когда упорствовать: 4 сигнала
Продукт и стратегия	Как выбрать нишу, в которой можно стать №1: 5 фильтров
Продукт и стратегия	Roadmap на полгода для seed-стартапа: что должно быть и чего быть не должно
Продукт и стратегия	Product-market fit на пальцах: 3 простых теста
Продукт и стратегия	Когда добавлять фичу, а когда отказывать клиенту: правило 30%
Маркетинг и продажи	Как найти первого платящего клиента без бюджета: 5 каналов
Маркетинг и продажи	B2B-холодные письма, которые открывают: 4 правила
Маркетинг и продажи	Контент-маркетинг для стартапа: что писать, если вы не журналист
Маркетинг и продажи	Воронка продаж на старте: одна табличка, которая помогает не терять лиды
Маркетинг и продажи	Цена на продукт: 3 способа протестировать без скидок и обмана
Маркетинг и продажи	PR без агентства: как попасть в РБК или vc.ru на ранней стадии
Маркетинг и продажи	Партнёрки для B2B-стартапа: почему не работают и как сделать чтобы работали
Психология предпринимателя	Выгорание основателя: 5 признаков и 3 рабочих способа
Психология предпринимателя	Как принимать решения, когда страшно: фреймворк WRAP
Психология предпринимателя	Что делать, когда раунд провалился: 4 шага в первые 72 часа
Психология предпринимателя	Синдром самозванца у фаундера: почему он не уходит и как с ним жить
Психология предпринимателя	Когда «бросить и пойти в найм» — правильное решение: 3 честных критерия
Психология предпринимателя	Как делиться плохими новостями с командой и инвесторами
Разборы ошибок	3 ошибки на стадии MVP, которые убивают стартап до первого клиента
Разборы ошибок	5 типичных провалов в найме на ранней стадии
Разборы ошибок	Почему стартапы умирают «с положительной выручкой»: разбор трёх кейсов
Разборы ошибок	Ошибки фаундера на первом созвоне с фондом: 4 красных флага
Разборы ошибок	Что делает «токсичного» со-фаундера и как вовремя распознать
Разборы ошибок	5 ошибок в финмодели, из-за которых инвестор уходит молча
